layout, mental_demand, physical_demand, performance, effort, frustration
dvorak, 19, 18, 13, 18, 18
qwerty, 0, 0, 7, 2, 0
circle, 15, 12, 12, 15, 10
dvorak, 17, 17, 3, 17, 17
qwerty, 15, 15, 3, 16, 15
circle, 17, 14, 3, 17, 17
dvorak, 14, 17, 15, 13, 14
qwerty, 3, 3, 12, 12, 11
circle, 19, 19, 9, 9, 9
dvorak, 14, 14, 12, 15, 13
qwerty, 11, 8, 5, 16, 4
circle, 7, 5, 5, 11, 9
dvorak, 14, 13, 9, 16, 19
qwerty, 4, 7, 6, 11, 3
circle, 12, 9, 6, 6, 14
dvorak, 15, 4, 4, 14, 16
qwerty, 1, 2, 1, 2, 1
circle, 19, 7, 15, 13, 18
dvorak, 7, 2, 12, 11, 11
qwerty, 1, 2, 17, 2, 1
circle, 6, 5, 13, 12, 17
dvorak, 15, 4, 8, 15, 17
qwerty, 5, 2, 15, 6, 3
circle, 13, 4, 7, 12, 13
dvorak, 9, 11, 14, 14, 14
qwerty, 0, 0, 5, 7, 2
circle, 15, 15, 11, 15, 11
dvorak, 16, 14, 6, 16, 15
qwerty, 2, 3, 8, 5, 4
circle, 14, 12, 8, 10, 12
dvorak, 14, 13, 9, 16, 19
qwerty, 3, 4, 5, 7, 3
circle, 17, 14, 7, 12, 13